ICAO	city
CYMH	Mary's Harbour
CYMJ	Moose Jaw
CYML	Charlesvoix
CYMM	Fort McMurray
CYMO	Moosonee
CYMT	Chibougamou Chapais
CYMU	Umiujaq
CYMW	Maniwaki
CYMX	Montreal Mirrabel
CYMY	Ear Falls
CYNA	Natashquan
CYNC	Wemindji
CYND	Ottawa Gatineaux
CYNE	Norway House
CYNH	Hudson's Hope
CYNJ	Langley
CYNL	Points North Landing
CYNM	Matagami
CYOA	Koala
CYOC	Old Crow
CYOD	Cold Lake
CYOH	Oxford House
CYOJ	High Level
CYOO	Oshawa
CYOP	Rainbow Lake
CYOS	Owen Sound Billy Bishop Regional
CYOW	Ottawa Mcdonald Certier Intl
CYOY	Valcartier Joe Lecomte
CYPA	Prince Albert
CYPC	Paulatuk
CYPD	Port Hawkesbury
CYPE	Peace River
CYPG	Portage La Prairie Southport
CYPH	Inukjuak
CYPK	Pitt Meadows
CYPL	Pickle Lake
CYPM	Pikangikum
CYPN	Port Menier
CYPO	Peawanuck
CYPP	Parent
CYPQ	Peterborough
CYPR	Prince Rupert
CYPS	Pemberton
CYPT	Pelee Island
CYPU	Puntzi Mountain
CYPW	Powell River
CYPX	Puvernituq
CYPY	Fort Chipewyan
CYPZ	Burns Lake
CYQA	Muskoka
CYQB	Quebec Jean Lesage Intl
CYQD	The Pas
CYQF	Red Deer Industrial
CYQG	Windsor
CYQH	Watson Lake
CYQI	Yarmouth
CYQK	Kenora
CYQL	Lethbridge
CYQM	Moncton
CYQN	Nakina
CYQQ	Comox
CYQR	Regina
CYQS	St Thomas Muni
CYQT	Thunder Bay
CYQU	Grand Prairie
CYQV	Yorkton
CYQW	North Battleford
CYQX	Gander
CYQY	Sydney
CYQZ	Quesnel
CYRB	Resolute
CYRC	Chicoutimi St Honore
CYRI	Riviere Du Loop
CYRJ	Roberval
CYRL	Red Lake
CYRM	Rocky Mountain House
CYRO	Ottawa Rockcliffe
CYRP	Ottawa Carp
CYRQ	Trois Rivieres
CYRS	Red Sucker Lake
CYRT	Rankin Inlet
CYRV	Revelstoke
CYSB	Sudbury
CYSC	Sherbrooke
CYSD	Suffield
CYSE	Squamish
CYSF	Stony Rapids
CYSG	St Georges
CYSH	Smith Falls Montague
CYSJ	Saint John
CYSK	Sanikiluaq
CYSL	St Leonard
CYSM	Fort Smith
CYSN	St Catharines
CYSP	Marathon
CYSQ	Atlin
CYSR	Nanisivik
CYST	St Theresa Point
CYSU	Summerside
CYSW	Sparwood Elk Valley
CYSY	Sachs Harbour
CYSZ	Ste Anne Des Monts
CYTA	Pembroke
CYTE	Cape Dorset
CYTF	Alma
CYTH	Thompson
CYTJ	Terrace Bay
CYTL	Big Trout Lake
CYTN	Trenton
CYTQ	Tasiujaq
CYTR	Trenton
CYTS	Timmins
CYTZ	Toronto City Centre
CYUB	Tuktoyaktuk
CYUL	Montreal Dorval
CYUT	Repulse Bay
CYUW	Dewar Lakes
CYUX	Hall Beach
CYUY	Rouyn Noranda
CYVB	Bonaventure
CYVC	La Ronge
CYVG	Vermillion
CYVK	Vernon
CYVM	Broughton Island
CYVO	Val D'or
CYVP	Kuujjuaq
CYVQ	Norman Wells
CYVR	Vancouver
CYVT	Buffalo Narrows
CYVV	Wiarton
CYVZ	Deer Lake ONT
CYWA	Petawawa
CYWG	Winnipeg
CYWJ	Deline
CYWK	Wabush
CYWL	Williams Lake
CYWM	Athabasca
CYWO	Lupin
CYWP	Webquie
CYWV	Wainwright
CYWY	Wrigley
CYXC	Cranbrook
CYXD	Edmonton Muni
CYXE	Saskatoon
CYXH	Medicine Hat
CYXJ	Fort St John
CYXK	Rimouski
CYXL	Sioux Lookout
CYXN	Whale Cove
CYXP	Pangnirtung
CYXQ	Beaver Creek
CYXR	Earlton
CYXS	Prince George
CYXT	Terrace
CYXU	London
CYXX	Abbotsford
CYXY	Whitehorse
CYXZ	Wawa
CYYB	North Bay
CYYC	Calgary
CYYD	Smithers
CYYE	Fort Nelson
CYYF	Penticton
CYYG	Charlottetown
CYYH	Taloyoak
CYYJ	Victoria Intl
CYYL	Lynn Lake
CYYM	Cowley
CYYN	Swift Current
CYYO	Wynyard
CYYQ	Churchill
CYYR	Goose Bay
CYYT	St John's
CYYU	Kapuskasing
CYYW	Armstrong
CYYY	Mont Joli
CYYZ	Toronto Lester
CYZD	Toronto Downsview
CYZE	Gore Bay Manitoulin
CYZF	Yellowknife
CYZG	Salluit
CYZH	Slave Lake
CYZL	Liard River
CYZP	Sandspit
CYZR	Sarnia
CYZS	Coral Harbour
CYZT	Port Hardy
CYZU	Whitecourt
CYZV	Sept Iles
CYZW	Teslin
CYZX	Greenwood
CYZY	Mackenzie
CZAC	York Landing
CZAM	Salmon Arm
CZBA	Burlington Airpark
CZBB	Boundary Bay
CZBD	Ilford
CZBF	Bathurst
CZBM	Bromont
CZEE	Kelsey
CZEM	Eastmain River
CZFA	Faro
CZFD	Fond Du Lac
CZFG	Pukatawagan
CZFM	Fort Mc Pherson
CZFN	Fort Norman
CZGF	Grand Forks
CZGI	Gods River
CZGR	Little Grand Rapids
CZHP	High Prairie
CZJG	Jenpeg
CZJN	Swan River
CZKE	Kashechewan
CZLQ	Thicket Portage
CZMD	Muskrat Dam
CZML	108 Mile Airport
CZMN	Pikwitonei
CZMT	Masset
CZNG	Poplar River
CZNL	Nelson
CZPB	Sachigo Lake
CZPC	Pincher Creek
CZPO	Pinehouse Lake
CZRJ	Round Lake (Weagamow Lake)
CZSJ	Sandy Lake
CZSN	South Indian Lake
CZST	Stewart
CZTA	Bloodvein River
CZTM	Shamattawa
CZUC	Ignace Muni
CZUE	Cape Parry
CZUM	Churchill Falls
CZVL	Edmonton Villeneuve
CZWH	Lac Brochet
CZWL	Wollaston Lake
DAAB	Blida
DAAD	Bou Saada
DAAE	Bejaia Soummam
DAAF	Aoulef
DAAG	Alger Houuari Boumediene
DAAJ	Djanet Tiska
DAAK	Boufarik
DAAM	Telergma
DAAN	Reggen
DAAP	Illizi Illirane
DAAQ	Ain Oussera
DAAS	Setif Ain Arnat
DAAT	Tamanrasset
DAAV	Jijell Taher
DAAW	Bordj Omar Driss
DAAX	Cheraga
DAAY	Mecheria
DAAZ	Relizane
DABB	Annaba Mellah
DABC	Constantine Ain El Bey
DABP	Skikda
DABS	Tebessa
DABT	Batna
DAFH	Tilrempt Hassi R'mel
DAFI	Djelfa Tletsi
DAOB	Tiaret
DAOC	Bechar Oukda
DAOE	Bou Sfer
DAOF	Tindouf
DAOI	Ech-Cheliff
DAOL	Oran Tafaroui
DAON	Zenata Messali el Hadj
DAOO	Oran Es Senia
DAOR	Bechar Ouakda (Boudghene?)
DAOS	Sidi Bel Abbes
DAOV	Ghriss
DATG	In Guezzam
DATM	Bordj Mokhtar
DAUA	Adrar Touat
DAUB	Biskra (Mohamed Khider?)
DAUE	El Golea
DAUG	Ghardaia Noumerate
DAUH	Hassi-Messaoud Oued
DAUI	In Salah
DAUK	Touggourt Sidi Mahda
DAUL	Laghouat
DAUO	El Qued Guemar
DAUT	Timimoun
DAUU	Ouargla
DAUZ	Zarzaitine In Amenas
DBBB	Cotonou
DBBC	Cana Bouhicon
DBBD	Djougou
DBBK	Kandi
DBBN	Natitinou
DBBO	Porga
DBBP	Parakou
DBBR	Bimbereke
DBBS	Save
DFCA	Kaya
DFCB	Barsalogho
DFCC	Ouahigouya
DFCD	Didyr
DFCE	Batie
DFCG	Kongoussi
DFCI	Titao
DFCJ	Djibo
DFCK	Koudougou
DFCL	Leo
DFCM	Manga
DFCO	Boromo
DFCP	Po
DFCR	Poura
DFCS	Seguenega
DFCT	Tenado
DFCU	Gourcy
DFCY	Yako
DFEA	Boulsa
DFEB	Bogande
DFEC	Komin-Yanga
DFED	Diapaga
DFEE	Dori
DFEF	Fada N'gourma
DFEG	Gorom Gorom
DFEK	Koupela
DFEL	Kantchari
DFEM	Tambao
DFEO	Zorgo
DFEP	Pama
DFER	Arli
DFES	Sebba
DFET	Tenkodogo
DFEY	Ouargaye
DFEZ	Zabre
DFFD	Ouagadougou (AD)
DFOA	Dano
DFOB	Banfora
DFOD	Dedougou
DFOF	Safane
DFOG	Amilcar Cabral Gaoua
DFOH	Hounde
DFOL	Loumana
DFON	Nouna
DFOO	Bobo Dioulasso
DFOR	Orodara
DFOS	Sideradougou
DFOT	Tougan
DFOU	Diebougou
DFOY	Aribinda
DGAA	Accra Kotoka Intl
DGAD	Ada
DGAE	Kete-Kratchi
DGAH	Ho
DGAK	Akuse
DGAS	Saltpond
DGAT	Tema
DGKA	Akim Oda
DGKK	Koforidua
DGLB	Bole
DGLE	Tamale
DGLN	Navrongo
DGLW	Wa
DGLY	Yendi
DGSB	Sefwi-Bekwai
DGSI	Kumasi
DGSN	Sunyani
DGSW	Wenchi
DGTK	Takoradi
DGTX	Axim
DIAD	Adiake
DIAE	Agboville
DIAO	Aboisso
DIAP	Abidjan Felix Houphouet Boigny
DIAU	Abengourou
DIBC	Bocanda
DIBI	Boundiali
DIBK	Bouake
DIBN	Bouna Tehini
DIBU	Bondoukou Soko
DIDB	Dabou
DIDK	Dimbokro Ville
DIDL	Daloa
DIDV	Divo
DIFK	Ferkessedougou
DIGA	Gagnoa
DIGL	Guiglo
DIGN	Grand Bereby Nero Mare
DIKO	Korhogo
DIMN	Man
DIOD	Odienne
DIOF	Quango Fitini
DIPG	Port Gauthier
DISG	Seguela
DISP	San Pedro
DISS	Sassandra
DITB	Tabou
DITM	Touba Mahana
DIYO	Yamoussoukro
DNAA	Abuja Intl
DNAK	Akure
DNBE	Benin City
DNBI	Bida
DNCA	Calabar
DNEN	Enugu
DNGU	Gusau
DNIB	Ibadan
DNIL	Ilorin
DNIM	Owerri
DNJO	Jos
DNKA	Kaduna
DNKN	Kano Mallam Aminu Intl
DNMA	Maiduguri
DNMK	Makurdi
DNMM	Lagos Murtala Muhammed
DNMN	Minna
DNOS	Oshogbo
DNPO	Port Harcourt
DNSO	Sokoto
DNYO	Yola
DNZA	Zaria
DRRA	Teesaoua
DRRC	Dogondoutchi
DRRD	Dosso
DRRE	Tera
DRRG	Gaya
DRRI	Bilma
DRRL	Tilabery
DRRM	Maradi
DRRN	Niamey Dioro Hamani
DRRP	La Tapoa
DRRT	Tahoua
DRRU	Quallam
DRZA	Agades Sud
DRZD	Dirkou
DRZF	Diffa
DRZG	Goure
DRZI	Iferouane
DRZL	Arlit
DRZM	Maine-Soroa
DRZN	N'guigmi
DRZR	Zinder
DRZT	Tanout
DTKA	Tabarka
DTMB	Monastir Habib Bourgiba
DTTA	Tunis Carthage
DTTB	Bizerte Sidi Ahmed
DTTD	Remada
DTTF	Gafsa
DTTG	Gabes
DTTI	Bordj El Amri
DTTJ	Jerba Zarsis
DTTK	Kairouan
DTTL	Kelibia
DTTN	Jendouba
DTTR	El Borma
DTTX	Sfax Thyna
DTTZ	Tozeur Nefta
DXAK	Atakpame Akpaka
DXBS	Bassari
DXDP	Dapango
DXHO	Hahotoe
DXKP	Anie Kolokope
DXMG	Sansanne Mango
DXNG	Niamtougou
DXSK	Sokode
DXTA	Tabligbo
DXXX	Lome Tokoin
EB2	Froid-Chapelle
EBAM	Amougies
EBAW	Antwerpen Deurne
EBBE 	Beauvechain AB 
EBBL 	Kleine-Brogel AB 
EBBR	Brussels National
EBBT 	Brasschaat - Army 
EBBX	Bertrix Mil
EBCH	Casteau Helipad
EBCI	Charleroi Brussels South
EBCV	Chievres Mil
EBFN 	Koksijde AB 
EBFS 	Florennes AB 
EBGB	Bruxelle Grimbergen
EBGG	Overboelarge Geraardsbergen
EBGL	Glons Mil
EBHN	Hoevenen
EBKH	Balen Keiheuvel
EBKT 	Kortrijk-Wevelgem 
EBLB	Butgenbach Elsenborn Mil
EBLE	Leopoldsburg Beverlo
EBLG	Liege 
EBLH	Liege Heli
EBMB	Melsbroek Mil
EBMI	Bruxelles Mil
EBMO	Moorsele
EBMT	Munte Mil
EBNM	Namur-Suarlee
EBOS	Oostende
EBSG	Saint Ghislain
EBSH	Saint Hubert
EBSL	Zutendaal Mil
EBSP	Spa La Sauveniere
EBST 	Sint Truiden Mil
EBSU	Saint Hubert
EBSZ	Semmerzake Mil
EBTN	Goetsenhoven Mil
EBTX	Theux Verviers
EBTY	Tournai Maubray
EBUL	Ursel Mil
EBWE	Weelde Mil
EBZH	Hasselt
EBZR	Zoersel Mil
EBZW	Genk Zwartburg
EDAB	Bautzen
EDAC	Altenburg Nobitz
EDAD	Dessau
EDAE	Eisenhuettenstadt 
EDAF	Rhein Main AB MIL
EDAG	Grossrueckerswalde
EDAH	Heringsdorf
EDAI	Segeletz
EDAJ	Gera Leumitz
EDAK	Grossenhain
EDAL	Fuerstenwalde
EDAM	Merseburg
EDAN	Neustadt Glewe
EDAO	Nordhausen
EDAP	Neuhausen
EDAQ	Halle Oppin
EDAR	Pirna Pratzschwitz
EDAS	Finsterwalde
EDAT	Nardt
EDAU	Riesa Goehlis
EDAV	Finow
EDAW	Roitzschjora
EDAX	Rechlin - Laerz Mueritzflugplatz
EDAY	Strausberg
EDAZ	Schonhagen
EDBA	Alkersleben Wulferhausen
EDBC	Cochstedt Schneidlingen
EDBD	Dedelow
EDBE	Brandenburg Muhlenfeld
EDBF	Fehrbellin
EDBG	Burg
EDBH	Barth
EDBI	Zwickau
EDBJ	Jena Schoengleina
EDBK	Kyritz
EDBL	Laucha
EDBM	Magdeburg
EDBO	Oehna
EDBP	Schwerin Pinnow
EDBQ	Bronkow
EDBR	Rothenburg Oberlausitz
EDBS	Soemmerda Dermsdorf
EDBT	Allstedt
EDBU	Pritzwalk Sommersburg
EDBV	Stralsund
EDBW	Werneuchen
EDBX	Goerlitz
EDBY	Schmoldow
EDBZ	Schwarzheide Schipkau
EDCA	Anklam 
EDCB	Ballenstedt
EDCD	Cottbus Drewitz
EDCE	Eggersdorf Muencheberg
EDCF	Friedersdorf
EDCG	Guettin Ruegen
EDCH	Sprossen
EDCI	Klix
EDCJ	Chemnitz Jahnsdorf
EDCK	Kuethen
EDCL	Klietz Scharlibbe
EDCM	Kamenz
EDCN	Nauen
EDCO	Obermehler Schotheim
EDCP	Peenemunde
EDCQ	Aschersleben
EDCR	Rerik Zweedorf
EDCS	Saarmund
EDCT	Taucha
EDCU	Gustrow
EDCV	Pasewalk Fransfelde
EDCW	Wismar Mueggenburg
EDCX	Purkshof
EDCY	Welzow
EDDB	Berlin Schoenefeld
EDDC	Dresden
EDDE	Erfurt
EDDF	Frankfurt
EDDG	Munster - Osnabruck
EDDH	Hamburg
EDDI	Berlin Tempelhof
EDDK	Koeln Bonn
EDDL	Dusseldorf
EDDM	Muenchen
EDDN	Nurnberg
EDDP	Leipzig Halle
EDDR	Saarbrucken
EDDS	Stuttgart
EDDT	Berlin Tegel
EDDV	Hannover
EDDW	Bremen
EDEB	Bad Langensalza
EDEG	Gotha Ost
EDEH	Herrenteich
EDEL	Langenlonsheim
EDEM	Mosenberg
EDEQ	Mulhausen
EDEW	Wallduern
EDFA	Anspach Taunus
EDFB	Reichelsheim
EDFC	Aschaffenburg Grossostheim
EDFD	Bad Neustadt/Saale Grasberg
EDFE	Egelsbach 
EDFG	Gelnhausen
EDFH	Hahn
EDFI	Hirzenhain
EDFJ	Lager Hammelburg
EDFK	Bad Kissingen
EDFL	Giessen Luetzelinden
EDFM	Mannheim Neuostheim
EDFN	Marburg Schoenstadt
EDFO	Michelstadt Odenwald
EDFP	Ober Morlen
EDFQ	Allendorf/Eder
EDFS	Schweinfurt-Sued
EDFT	Lauterbach
EDFU	Mainbullau
EDFV	Worms
EDFW	Wuerzburg Schenkenturm
EDFX	Hockenheim
EDFY	Elz
EDFZ	Mainz - Finthen
EDGA	Ailertchen
EDGB	Breitscheid
EDGE	Eisenach Kindel
EDGF	Fulda Josa
EDGH	Hettstadt
EDGI	Ingelfingen Buehlhof
EDGJ	Ochsenfurt
EDGK	Korbach
EDGM	Mosbach Lohrbach
EDGN	Nordenbeck
EDGP	Oppenheim
EDGQ	Schameder
EDGR	Giessen Reiskirchen
EDGS	Siegerland
EDGT	Bottenhorn
EDGU	Unterschupf
EDGW	Wolfhagen Graner Berg
EDGX	Walldorf
EDGZ	Weinheim/Bergstrasse
EDHB	Grube
EDHC	Luchow Rehbeck
EDHE	Uetersen
EDHG	Luenenburg
EDHI	Hamburg - Finkenwerder
EDHJ	Itzehoe Hungriger Wolf
EDHK	Kiel Holtenau
EDHL	Lubeck - Blankensee
EDHM	Hartenholm
EDHN	Neumuenster
EDHO	Ahrenlohe
EDHS	Stade
EDHU	Lauenbruck
EDHW	Wahlstedt
EDKA	Aachen Merzbrueck
EDKB	Bonn Hangelar
EDKD	Altena Hegenscheid
EDKF	Bergneustadt auf dem Duempel
EDKH	Hunsborn
EDKI	Betzdorf-Kirchen
EDKL	Leverkusen
EDKM	Meschede Schueren
EDKN	Wipperfurth Neye
EDKO	Brilon Hochsauerland
EDKP	Plettenberg Hueinghausen
EDKR	Schmallenberg Rennefeld
EDKU	Attendorn Finnentrop
EDKV	Dahlemer Binz
EDKW	Werdohl Kuentrop
EDKZ	Meinerzhagen
EDLA	Arnsberg
EDLB	Borkenberge 
EDLC	Kamp Lintfort
EDLD	Dinslaken Schwarze Heide
EDLE	Essen-Muelheim
EDLF	Grefrath Niershorst
EDLH	Hamm Lippewiesen
EDLI	Bielefeld Windelsbleiche
EDLK	Krefeld-Egelsberg
EDLM	Marl Loemuehle
EDLN	Monchengladbach
EDLO	Oerlinghausen
EDLP	Paderborn-Lippstadt
EDLR	Paderborn Haxterberg
